gene,n_sequences,alignment_length,conservation_score,sequences_removed
cdaA_aligned,8595,885,0.993953,7
dhaM-2_aligned,8591,399,0.993947,7
ecfA1_aligned,8589,840,0.993925,7
ftsL_aligned,8596,408,0.993922,7
glnR_aligned,8593,390,0.993904,7
mrnC_aligned,8594,403,0.993874,7
atpA_aligned,8595,1557,0.993865,0
dnaK_aligned,8595,1833,0.993846,7
yidC2_aligned,8593,833,0.993845,6
rplY_aligned,8594,618,0.993845,7
yjdJ_aligned,8592,282,0.993842,7
rnj1_aligned,8594,1686,0.993811,7
ftsZ_aligned,8596,1236,0.993779,7
ylaC_aligned,8298,567,0.993759,7
ptcA_aligned,8562,1020,0.993718,7
tmk_aligned,8579,639,0.99371,7
trmB_aligned,8593,670,0.993668,7
pflA_aligned,8596,765,0.993665,7
niaR_aligned,8594,548,0.993663,7
pduU_aligned,8589,348,0.993633,7
tgnD_aligned,8525,735,0.993614,7
cydB_aligned,8595,1014,0.993583,7
gloA_aligned,8593,375,0.993575,7
dut_aligned,8588,486,0.993571,7
kdgR_aligned,8591,753,0.993553,6
hexs-b_aligned,8596,993,0.993549,7
accD_aligned,8393,867,0.993549,0
cggR_aligned,8595,1043,0.993522,7
sugB_aligned,8568,924,0.993478,7
accC_aligned,8596,1377,0.99345,0
dnaI_aligned,8497,933,0.993444,7
pyrR_aligned,8595,543,0.993396,7
pheS_aligned,8596,1059,0.993386,7
yqeH_aligned,8595,1122,0.993382,7
ychF_aligned,8596,1119,0.993362,7
yclN_aligned,8579,951,0.993357,7
hit_aligned,8591,429,0.993356,7
dnaB_aligned,8595,1410,0.993332,7
guaA_aligned,8584,1563,0.993329,7
cutC_aligned,8593,652,0.993315,7
atpC_aligned,8594,420,0.993297,0
yitU_aligned,8591,876,0.993281,7
ecsA_aligned,8582,756,0.993226,7
zwf_aligned,8596,1527,0.993201,7
secA_aligned,8596,2539,0.993201,7
whiA_aligned,8595,976,0.993151,7
rpmE2_aligned,8595,273,0.99315,7
rpoZ_aligned,8593,306,0.993144,7
nusA_aligned,8596,1228,0.993143,7
ftsH_aligned,8525,2169,0.99314,7
frr_aligned,8595,558,0.9931,7
brnQ_aligned,8489,1356,0.993083,7
guaB_aligned,8593,1485,0.993038,7
rsmB_aligned,8591,2130,0.993025,7
niaX_aligned,8596,630,0.993023,7
yacL_aligned,8596,1146,0.993018,7
mngA_aligned,8565,468,0.993013,7
ntpD_aligned,8595,636,0.993013,7
zur_aligned,8595,435,0.993,7
recR_aligned,8593,597,0.992954,7
gluP_aligned,8594,711,0.992941,7
murG_aligned,8593,1245,0.992909,7
nrdE2_aligned,8570,2160,0.992887,7
ntcA_aligned,8578,693,0.992855,5
yugI_aligned,8592,369,0.992843,7
cmk_aligned,8594,690,0.992806,7
nrdD_aligned,8593,2223,0.992791,7
scpA_aligned,8596,807,0.992771,7
prmA_aligned,8582,949,0.992738,7
metG_aligned,8592,2013,0.992712,7
ohrA_aligned,8529,573,0.992711,7
gpsA_aligned,8595,1023,0.992704,7
ywpJ_aligned,8576,888,0.992679,7
mnmE_aligned,8596,1398,0.992655,6
yyaP_aligned,8490,561,0.992651,7
fpgS_aligned,8596,1335,0.992649,7
nadK_aligned,8595,798,0.992638,7
bglK_aligned,8340,882,0.99263,7
yycI_aligned,8589,855,0.992627,7
proB_aligned,8590,817,0.992621,7
plsX_aligned,8593,1002,0.992615,7
nadD_aligned,8596,660,0.992601,7
spo0J_aligned,8596,900,0.9926,7
mnmG_aligned,8596,1909,0.992566,6
yjbM_aligned,8595,675,0.992561,7
ygeW_aligned,8582,1303,0.99255,7
lutB_aligned,8581,2959,0.992545,7
scpB_aligned,8596,648,0.992526,7
norW_aligned,8499,2073,0.99252,7
yjbK_aligned,8590,582,0.992513,7
gbuA_aligned,8590,1198,0.992487,6
pgcA_aligned,8595,1725,0.992485,7
ntpB_aligned,8596,1377,0.992476,7
dtpT_aligned,8570,1630,0.99247,7
queA_aligned,8595,1047,0.992461,7
groL_aligned,8588,1710,0.992457,7
rfbC_aligned,8594,600,0.992407,7
rmlA_aligned,8595,867,0.9924,7
mglA_aligned,8592,1578,0.99236,7
rplS_aligned,8589,354,0.992359,7
prs2_aligned,8587,988,0.992302,7
coaD_aligned,8595,492,0.992291,7
fabI_aligned,8595,753,0.99229,7
tcyP_aligned,8590,1394,0.992282,7
znuC_aligned,8479,693,0.992271,7
ackA_aligned,8589,1188,0.992248,0
pth_aligned,8596,567,0.992241,7
aroF_aligned,8596,1028,0.992237,0
era_aligned,8596,906,0.992217,7
nadE_aligned,8595,846,0.992215,7
citC_aligned,8595,1011,0.992201,6
punA_aligned,8593,819,0.992198,7
leuS_aligned,8592,2517,0.992192,7
clpE_aligned,8589,2265,0.992186,7
mgtE_aligned,8558,1363,0.992177,7
ddl_aligned,8533,1074,0.992177,7
murI_aligned,8594,828,0.992139,7
ispF_aligned,8593,486,0.992101,7
urdA_aligned,8524,642,0.992081,7
lrp_aligned,8593,852,0.992064,7
engB_aligned,8595,582,0.992035,7
lysS_aligned,8579,1576,0.992019,7
gatD_aligned,8596,693,0.992013,7
rlhA_aligned,8592,921,0.992,7
ppaC_aligned,8593,927,0.991999,7
eutL_aligned,8593,654,0.991996,7
tpx_aligned,8594,583,0.991993,7
prfA_aligned,8576,1074,0.991977,7
ndk_aligned,8590,541,0.991966,7
peb1A_aligned,8596,878,0.991961,7
srlE_aligned,8550,1036,0.99196,7
gmuD_aligned,8570,1395,0.99194,7
oadA_aligned,8510,1401,0.991921,6
cshB_aligned,8592,1440,0.99192,7
gtaB_aligned,8582,1008,0.991919,7
trmL_aligned,8593,507,0.991912,7
agaA_aligned,8376,1149,0.991881,0
msrB_aligned,8593,522,0.991876,7
pepC_aligned,8580,1472,0.991868,7
yqeN_aligned,8596,1029,0.991852,7
IMPDH_aligned,8596,1326,0.991841,0
graR_aligned,8593,679,0.991839,7
uvrB_aligned,8261,2010,0.991819,7
mecA_aligned,8593,666,0.991805,7
allB_aligned,8523,2874,0.991768,0
vraR_aligned,8526,634,0.99176,7
znuB_aligned,8596,861,0.991751,7
gyrA_aligned,8596,2511,0.991749,5
ybhL_aligned,8595,687,0.991737,7
rsmE_aligned,8594,771,0.991724,7
ytlR_aligned,8588,989,0.991713,7
aspS_aligned,8596,1773,0.991709,0
fmnP_aligned,8497,737,0.991706,7
gntP_aligned,8586,1296,0.991704,7
plsC_aligned,8593,682,0.991696,7
alaS_aligned,8596,2643,0.991682,0
typA_aligned,8592,1836,0.991667,7
deoD_aligned,8582,723,0.991647,7
est_aligned,8596,771,0.991622,7
rsmH_aligned,8594,960,0.991619,7
dltD_aligned,8593,1275,0.991616,7
clcA_aligned,8571,1698,0.991595,7
yrrK_aligned,8595,423,0.991561,7
ffh_aligned,8595,1452,0.991542,7
femA_aligned,8513,1292,0.991523,7
spuD_aligned,8496,1065,0.991497,7
radA_aligned,8596,1371,0.991491,7
ispE_aligned,8593,858,0.991485,7
thrC_aligned,8589,1078,0.991483,7
codY_aligned,8590,819,0.991479,7
fetA_aligned,8433,663,0.99145,7
citE_aligned,8595,906,0.991443,6
sgbH_aligned,8212,690,0.991384,7
dnaG_aligned,8570,1887,0.991368,7
dapA_aligned,8520,885,0.99136,7
cydA_aligned,8594,1419,0.991357,7
artM_aligned,8592,753,0.991344,0
exuT_aligned,8548,1276,0.991337,7
hslV_aligned,8595,549,0.991331,7
ezrA_aligned,8595,1770,0.991321,7
gcdB_aligned,8596,1116,0.9913,6
pduA_aligned,8589,345,0.991293,7
sdhB_aligned,8585,670,0.99129,7
pcrA_aligned,8350,2259,0.991285,7
def_aligned,8572,564,0.991283,7
gldA_aligned,8577,1141,0.991273,7
sfsA_aligned,8589,742,0.991263,7
folE_aligned,8580,570,0.991225,7
dhaK_aligned,8578,984,0.991207,7
hemW_aligned,8591,1219,0.991205,7
eutC_aligned,8592,912,0.991197,7
citN_aligned,8556,1478,0.991195,6
opuCD_aligned,8594,663,0.99119,7
uppS_aligned,8596,816,0.991164,7
pyrG_aligned,8596,1611,0.991126,7
deoB_aligned,8591,1215,0.991122,7
pyrC_aligned,8593,1290,0.991114,7
lspA_aligned,8579,486,0.991114,7
sph_aligned,8593,1873,0.991085,7
glpF_aligned,8583,726,0.991058,7
glyS_aligned,8595,2085,0.991028,7
ctpA_aligned,8595,1473,0.991008,7
trmFO_aligned,8591,1308,0.991006,7
murF_aligned,8596,1431,0.991006,7
cysE_aligned,8593,542,0.990993,7
arcA_aligned,8573,1227,0.990993,0
pyrE_aligned,8594,685,0.99098,7
srlA_aligned,8574,558,0.990959,7
hmpT_aligned,8594,513,0.990951,7
rlmG_aligned,8585,645,0.990932,7
czrA_aligned,8568,288,0.990898,7
glyA_aligned,8592,1242,0.990892,7
ypdF_aligned,8595,1068,0.990879,7
sipV_aligned,8557,555,0.990864,7
exuR_aligned,8548,966,0.990858,7
smpB_aligned,8596,465,0.990844,7
yecS_aligned,8593,650,0.990841,5
folT_aligned,8584,540,0.990833,7
tagO_aligned,8596,1149,0.990831,7
relA_aligned,8595,2214,0.990826,7
selD_aligned,8266,2035,0.990815,7
ntpK_aligned,8596,474,0.990785,7
dltA_aligned,8544,1533,0.990782,7
fepC_aligned,8498,774,0.990777,6
chbB_aligned,8582,333,0.990772,7
mtlD_aligned,8593,1158,0.990752,7
ecfA2_aligned,8578,883,0.99075,7
murT_aligned,8596,1362,0.990728,7
rpsI_aligned,8588,393,0.990723,7
rnj2_aligned,8592,1689,0.990707,7
sodA_aligned,8593,624,0.990691,7
rplI_aligned,8596,459,0.990682,6
gcdC_aligned,8199,465,0.99067,6
rnj_aligned,8595,1290,0.990668,7
yvcJ_aligned,8594,888,0.990665,7
lrgA_aligned,8594,420,0.990664,7
ulaG_aligned,8277,1092,0.990624,7
mreC_aligned,8579,891,0.990612,7
ymdB_aligned,8590,798,0.990594,7
rqcH_aligned,8592,1713,0.990589,7
mapP_aligned,8593,825,0.990579,7
rho_aligned,8580,1293,0.990571,7
frlB_aligned,8231,1005,0.99056,7
clpB_aligned,8585,2624,0.99055,7
asd_aligned,8488,1068,0.990546,0
acpS_aligned,8596,360,0.990533,0
sorF_aligned,8463,420,0.99053,7
yvqK_aligned,8506,612,0.990516,7
der_aligned,8596,1311,0.990506,7
gdpP_aligned,8575,1992,0.990499,6
dnaE_aligned,8596,3333,0.990489,7
sacY_aligned,8584,873,0.990459,7
cysS_aligned,8594,1413,0.990458,6
pepA_aligned,8588,1077,0.990452,7
ileS_aligned,8595,2811,0.990442,7
cah_aligned,8596,709,0.990409,7
pdp_aligned,8592,1305,0.990408,7
trxB_aligned,8584,960,0.990344,7
mtnN_aligned,8572,696,0.990343,7
xseA_aligned,8594,1347,0.990314,7
malT_aligned,8569,1070,0.990301,7
glmU_aligned,8596,1377,0.9903,7
rlmL_aligned,8590,1164,0.990292,7
rmlD_aligned,8591,843,0.990284,7
yhaM_aligned,8596,945,0.990284,7
zitB_aligned,8519,937,0.990283,7
pncB2_aligned,8581,1494,0.990282,7
pbuO_aligned,8564,1419,0.990276,7
citF_aligned,8594,1539,0.990274,6
thiT_aligned,8594,620,0.990272,7
walK_aligned,8541,1833,0.990272,7
thiI_aligned,8595,1228,0.99027,7
gsiC_aligned,8585,993,0.990263,7
glpK_aligned,8577,1517,0.990255,7
nth_aligned,8592,650,0.990254,7
nrnA_aligned,8594,963,0.990252,7
mtlR_aligned,8500,2034,0.990242,7
pdtaR_aligned,8594,640,0.990238,7
crtK-2_aligned,8531,474,0.990222,7
ykoE_aligned,8594,575,0.990185,7
pgmB_aligned,8589,678,0.99018,7
deoC_aligned,8596,681,0.990166,7
ftsX_aligned,8595,887,0.990164,7
purF_aligned,8582,2508,0.990162,7
bfmBAA_aligned,8499,999,0.990148,0
znuA_aligned,8285,954,0.990142,7
dauR_aligned,8461,669,0.990142,7
rlmN_aligned,8534,1093,0.990136,7
murC_aligned,8596,1338,0.990122,7
mfd_aligned,8592,3570,0.990112,7
dapF_aligned,8591,986,0.990111,7
hslO_aligned,8594,903,0.990103,7
rmlB_aligned,8594,1029,0.990095,7
mraY_aligned,8596,966,0.990077,7
catE_aligned,8371,857,0.990061,7
polA_aligned,8593,2649,0.990053,4
aroB_aligned,8531,1077,0.990036,0
eutB_aligned,8569,1575,0.990029,7
ahpC_aligned,8592,564,0.989986,0
fhuD_aligned,8549,1114,0.989969,7
pgpH_aligned,8594,2208,0.989962,7
yfcJ_aligned,8539,1237,0.989961,7
yheS_aligned,8542,1959,0.989955,7
mrdA_aligned,8588,2049,0.989951,6
ykuL_aligned,8592,489,0.989941,7
alsS_aligned,8577,1731,0.98992,0
ypjQ_aligned,8440,510,0.989904,7
dhaL_aligned,8543,618,0.989902,7
alaA_aligned,8595,1218,0.989898,0
dnaD_aligned,8595,717,0.989885,7
menB_aligned,8592,816,0.989858,7
ruvB_aligned,8592,1017,0.989853,7
liaS_aligned,8472,1108,0.989832,7
pgl_aligned,8594,1029,0.98983,7
iscU_aligned,8595,536,0.989818,7
yutF_aligned,8595,771,0.989815,7
dapX_aligned,8591,1246,0.989782,7
hisS_aligned,8595,1302,0.989771,7
hrtA_aligned,8546,672,0.989765,7
nudF_aligned,8589,645,0.98976,7
yqiK_aligned,8568,1474,0.989702,7
rluB_aligned,8527,717,0.989696,7
fni_aligned,8596,1055,0.989674,7
trmD_aligned,8596,741,0.989674,7
pfkB_aligned,8594,927,0.989671,7
wbbL_aligned,8594,783,0.989652,7
rasP_aligned,8591,1269,0.989651,7
fimA_aligned,8586,934,0.98965,7
guaC_aligned,8595,979,0.989641,7
prfB_aligned,8594,1026,0.989635,7
rnhB_aligned,8592,790,0.989603,7
cysQ_aligned,8547,783,0.989583,7
yhgF_aligned,8589,2193,0.989569,7
tkt_aligned,8595,1995,0.989565,7
mutS_aligned,8585,3220,0.989547,7
fabH_aligned,8593,966,0.989515,7
purB_aligned,8595,1296,0.98951,7
aroC_aligned,8586,1167,0.989506,0
purC_aligned,8589,715,0.989477,7
opuCC_aligned,8580,934,0.989474,7
aroE_aligned,8592,883,0.989445,0
uxuA_aligned,8330,1470,0.989443,7
yumC_aligned,8596,1011,0.989422,7
lutA_aligned,8589,802,0.98938,7
yadH_aligned,8290,771,0.989377,7
cysM_aligned,8587,956,0.98937,7
aspB_aligned,8596,1200,0.989354,0
azoR_aligned,8561,639,0.989339,0
thiM_aligned,8595,1332,0.989331,6
mltG_aligned,8594,1395,0.989309,7
femB_aligned,8560,1298,0.989292,7
mvaS_aligned,8595,1152,0.98929,7
gpsB_aligned,8596,448,0.989274,7
pheT_aligned,8590,2427,0.98927,7
pyrP_aligned,8575,1285,0.989259,7
rnr_aligned,8594,2408,0.989247,7
cysA_aligned,8583,1053,0.989244,7
proS_aligned,8595,1722,0.989212,7
rbgA_aligned,8594,936,0.989204,7
dgkA_aligned,8596,408,0.989198,7
thiD_aligned,8592,831,0.989193,6
trpS_aligned,8588,1135,0.989188,7
addB_aligned,8596,3600,0.989187,0
maa_aligned,8439,689,0.989179,7
infB_aligned,8576,2602,0.989167,7
aldC_aligned,8596,705,0.989148,0
fabD_aligned,8596,930,0.989108,7
mutM_aligned,8596,845,0.989083,7
ponA_aligned,8341,2373,0.98906,7
rnz_aligned,8596,942,0.989058,7
ribF_aligned,8593,954,0.989036,7
purM_aligned,8566,1078,0.989036,7
dpaL_aligned,8586,1218,0.989002,7
yigZ_aligned,8545,663,0.988987,7
glyQ_aligned,8596,909,0.988972,7
allD_aligned,8588,1145,0.988929,0
pepQ_aligned,8593,1104,0.988918,7
metN2_aligned,8575,1173,0.988915,7
btuF_aligned,8534,1071,0.988912,7
mnmA_aligned,8589,1164,0.988912,7
trpS2_aligned,8567,1090,0.988911,6
ypwA_aligned,8568,1497,0.98891,7
treB_aligned,8552,1503,0.988899,7
prmC_aligned,8596,837,0.988884,7
pepS_aligned,8587,1239,0.988872,4
potA_aligned,8546,1086,0.988859,7
agaS_aligned,8548,1179,0.988848,0
strA_aligned,8277,740,0.988844,7
pgi_aligned,8585,1352,0.988842,7
alr_aligned,8595,1117,0.988818,0
phoR_aligned,8481,1780,0.988804,7
ppdK_aligned,8592,2649,0.988765,7
murD_aligned,8596,1371,0.988755,7
glpO_aligned,8585,1830,0.988753,7
yfiC_aligned,8593,737,0.98874,7
axeA_aligned,8558,925,0.988736,0
sbcD_aligned,8594,1269,0.988732,7
citX_aligned,8595,552,0.988727,6
malG_aligned,8591,864,0.988722,7
hflX_aligned,8564,2192,0.988714,7
ydhF_aligned,8592,937,0.988708,7
pbuG_aligned,8556,1353,0.9887,7
potB_aligned,8596,880,0.988692,7
glnM_aligned,8593,775,0.988652,7
pyrK_aligned,8594,795,0.98863,7
csbB_aligned,8588,1007,0.988628,7
ywlC_aligned,8596,1026,0.988623,7
glnA_aligned,8589,1398,0.98861,7
cysK_aligned,8588,934,0.988549,7
pyrF_aligned,8592,715,0.988536,6
glcK_aligned,8588,988,0.988532,7
gmuE_aligned,8581,885,0.988516,7
cydD_aligned,8594,1800,0.988512,7
mro_aligned,8281,1053,0.988507,7
yfmL_aligned,8596,1310,0.988494,7
yvbW_aligned,8562,1356,0.988481,7
asnS_aligned,8595,1335,0.988466,0
dtd_aligned,8594,447,0.988457,7
fetB_aligned,8416,771,0.988456,7
comGC_aligned,8530,276,0.988423,7
recX_aligned,8595,810,0.988423,7
divIB_aligned,8594,1128,0.988361,7
mutL_aligned,8581,2139,0.988357,7
rpoN1_aligned,8590,1332,0.988347,7
add_aligned,8574,1091,0.988302,0
yclP_aligned,8571,756,0.988283,7
yrdA_aligned,8595,553,0.988263,7
rluD_aligned,8592,906,0.988236,7
helD_aligned,8587,2210,0.988233,7
mngB_aligned,8178,2772,0.988231,7
clpY_aligned,8589,1409,0.988228,7
yueI_aligned,8591,453,0.988215,7
thrB_aligned,8591,957,0.988209,7
oatA_aligned,8585,1884,0.988204,7
rpiA_aligned,8594,681,0.988197,7
obg_aligned,8593,1317,0.988195,7
malX_aligned,8393,1575,0.988158,7
gshAB_aligned,8588,2283,0.988157,7
thiE_aligned,8594,645,0.988138,7
metI_aligned,8591,672,0.988134,7
lrgB_aligned,8592,684,0.988134,7
ulaE_aligned,8318,1503,0.988123,7
hndA_aligned,8233,492,0.988123,7
trmK_aligned,8594,717,0.988098,6
ntpA_aligned,8594,1800,0.988091,7
prfC_aligned,8592,1575,0.988065,7
mdtG_aligned,8532,1332,0.98806,7
yedJ_aligned,8593,676,0.988059,7
pnuC_aligned,8588,747,0.988056,7
accA_aligned,8396,789,0.988054,0
bmr3_aligned,8583,1710,0.98805,7
pepF1_aligned,8213,1830,0.988024,7
rimI_aligned,8475,543,0.987976,7
ycfH_aligned,8592,771,0.987961,7
ntpC_aligned,8594,1002,0.987961,7
tmcAL_aligned,8596,1182,0.987958,7
thrS_aligned,8595,1983,0.987953,7
yehR_aligned,8439,467,0.987947,7
lutC_aligned,8592,720,0.98787,7
bbmA_aligned,8592,1767,0.98784,0
queG_aligned,8572,1239,0.987831,7
hepT_aligned,8587,987,0.987812,7
rnhA_aligned,8579,439,0.987781,7
yhdG_aligned,8593,1398,0.987756,7
citG_aligned,8594,870,0.987712,6
RBKS_aligned,8486,1927,0.987692,0
ccpB_aligned,8341,1016,0.987676,7
eutQ_aligned,8594,447,0.98767,7
htrA_aligned,8518,1299,0.987647,7
ycaM_aligned,8582,1476,0.987644,7
pycA_aligned,8595,3436,0.987636,7
potD_aligned,8489,1077,0.987628,7
slyA_aligned,8445,564,0.987627,7
bepA_aligned,8478,1266,0.987613,0
ettA_aligned,8578,1924,0.98761,7
parC_aligned,8591,2499,0.987569,7
rppH_aligned,8480,480,0.987556,7
yclQ_aligned,8585,1039,0.987545,7
bfmBAB_aligned,8495,990,0.987535,0
fadA_aligned,8560,2418,0.987534,7
aroA_aligned,8530,1281,0.98753,0
ytpP_aligned,8595,318,0.987519,7
rsmI_aligned,8593,873,0.987515,7
fbp_aligned,8588,1928,0.987509,7
dgs_aligned,8589,1017,0.987496,7
tsaB_aligned,8594,720,0.987494,7
trmR_aligned,8591,705,0.987494,7
dusB_aligned,8590,1056,0.98748,7
yclM_aligned,8590,1375,0.987408,7
proA_aligned,8596,1401,0.987403,7
tlyA_aligned,8596,817,0.987402,7
purQ_aligned,8585,678,0.987377,7
catD_aligned,8590,382,0.987336,7
mta_aligned,8591,760,0.987321,7
yjiA_aligned,8505,1038,0.987257,7
map_aligned,8590,765,0.987252,7
cimH_aligned,8576,1367,0.987244,7
rluC_aligned,8591,895,0.987225,7
hom_aligned,8593,1293,0.987224,7
ktrA_aligned,8595,686,0.987181,7
hprK_aligned,8594,942,0.987179,7
gor_aligned,8590,1353,0.987179,7
glmM_aligned,8590,1356,0.987165,7
cfa_aligned,8547,1175,0.987149,7
lepA_aligned,8590,1899,0.987147,7
ygjI_aligned,8524,1524,0.987092,7
mraZ_aligned,8596,486,0.987072,7
