position	match	mismatch	gap	coverage
127	8210	0	0	8210
128	8210	0	0	8210
129	8210	0	0	8210
130	8210	0	0	8210
131	8210	0	0	8210
132	8206	4	0	8210
133	8210	0	0	8210
134	5174	3036	0	8210
135	8210	0	0	8210
136	8210	0	0	8210
137	8203	7	0	8210
138	8210	0	0	8210
139	8210	0	0	8210
140	8210	0	0	8210
141	7717	493	0	8210
142	8200	10	0	8210
143	8210	0	0	8210
144	8142	68	0	8210
145	8210	0	0	8210
146	8210	0	0	8210
147	8210	0	0	8210
148	8210	0	0	8210
149	8210	0	0	8210
150	8210	0	0	8210
151	8210	0	0	8210
152	8210	0	0	8210
153	8210	0	0	8210
154	8210	0	0	8210
155	8210	0	0	8210
156	8210	0	0	8210
157	8209	1	0	8210
158	8210	0	0	8210
159	8210	0	0	8210
160	8210	0	0	8210
161	8210	0	0	8210
162	8210	0	0	8210
163	8208	2	0	8210
164	8210	0	0	8210
165	8210	0	0	8210
166	8209	1	0	8210
167	8210	0	0	8210
168	8210	0	0	8210
169	8210	0	0	8210
170	8210	0	0	8210
171	8210	0	0	8210
172	8210	0	0	8210
173	8210	0	0	8210
174	8210	0	0	8210
175	8210	0	0	8210
176	8210	0	0	8210
177	8208	2	0	8210
178	8210	0	0	8210
179	8209	1	0	8210
180	8210	0	0	8210
181	8210	0	0	8210
182	8210	0	0	8210
183	8210	0	0	8210
184	8210	0	0	8210
185	8210	0	0	8210
186	8210	0	0	8210
187	8210	0	0	8210
188	8210	0	0	8210
189	8210	0	0	8210
190	8210	0	0	8210
191	8209	1	0	8210
192	8210	0	0	8210
193	8176	34	0	8210
194	8210	0	0	8210
195	8210	0	0	8210
196	8209	1	0	8210
197	8210	0	0	8210
198	8210	0	0	8210
199	8210	0	0	8210
200	8210	0	0	8210
201	8210	0	0	8210
202	8210	0	0	8210
203	8210	0	0	8210
204	8210	0	0	8210
205	8208	2	0	8210
206	8210	0	0	8210
207	8210	0	0	8210
208	8210	0	0	8210
209	8210	0	0	8210
210	8207	3	0	8210
211	8210	0	0	8210
212	8210	0	0	8210
213	8210	0	0	8210
214	8210	0	0	8210
215	8210	0	0	8210
216	8051	159	0	8210
217	8209	1	0	8210
218	8210	0	0	8210
219	8210	0	0	8210
220	8210	0	0	8210
221	8210	0	0	8210
222	8210	0	0	8210
223	8210	0	0	8210
224	8210	0	0	8210
225	8210	0	0	8210
226	8210	0	0	8210
227	8210	0	0	8210
228	8210	0	0	8210
229	8205	5	0	8210
230	8210	0	0	8210
231	8210	0	0	8210
232	8210	0	0	8210
233	8210	0	0	8210
234	8210	0	0	8210
235	8210	0	0	8210
236	8210	0	0	8210
237	8210	0	0	8210
238	8210	0	0	8210
239	8210	0	0	8210
240	8210	0	0	8210
241	8210	0	0	8210
242	8210	0	0	8210
243	8210	0	0	8210
244	8210	0	0	8210
245	8210	0	0	8210
246	6760	1450	0	8210
247	8207	3	0	8210
248	8210	0	0	8210
249	7088	1122	0	8210
250	8210	0	0	8210
251	8210	0	0	8210
252	7235	975	0	8210
253	8210	0	0	8210
254	8210	0	0	8210
255	7859	351	0	8210
256	8210	0	0	8210
257	8210	0	0	8210
258	8095	115	0	8210
259	8210	0	0	8210
260	8210	0	0	8210
261	8209	1	0	8210
262	8210	0	0	8210
263	8209	1	0	8210
264	8210	0	0	8210
265	8210	0	0	8210
266	8210	0	0	8210
267	7019	1191	0	8210
268	8210	0	0	8210
269	8210	0	0	8210
270	8210	0	0	8210
271	8210	0	0	8210
272	8210	0	0	8210
273	8024	186	0	8210
274	8210	0	0	8210
275	8210	0	0	8210
276	8174	36	0	8210
277	8210	0	0	8210
278	8210	0	0	8210
279	8210	0	0	8210
280	8210	0	0	8210
281	8210	0	0	8210
282	8210	0	0	8210
283	8210	0	0	8210
284	8210	0	0	8210
285	8016	194	0	8210
286	8210	0	0	8210
287	8210	0	0	8210
288	8210	0	0	8210
289	8209	1	0	8210
290	8210	0	0	8210
291	8209	1	0	8210
292	8210	0	0	8210
293	8210	0	0	8210
294	8024	186	0	8210
295	8210	0	0	8210
296	8210	0	0	8210
297	8210	0	0	8210
298	8210	0	0	8210
299	8210	0	0	8210
300	8210	0	0	8210
301	8210	0	0	8210
302	8210	0	0	8210
303	8210	0	0	8210
304	8209	1	0	8210
305	8210	0	0	8210
306	8210	0	0	8210
307	8210	0	0	8210
308	8210	0	0	8210
309	8210	0	0	8210
310	8210	0	0	8210
311	8210	0	0	8210
312	7191	1019	0	8210
313	8210	0	0	8210
314	8210	0	0	8210
315	8210	0	0	8210
316	8210	0	0	8210
317	8210	0	0	8210
318	8210	0	0	8210
319	8210	0	0	8210
320	8210	0	0	8210
321	8210	0	0	8210
322	8210	0	0	8210
323	8210	0	0	8210
324	8210	0	0	8210
325	8210	0	0	8210
326	8210	0	0	8210
327	8210	0	0	8210
328	8210	0	0	8210
329	8210	0	0	8210
330	8210	0	0	8210
331	8210	0	0	8210
332	8210	0	0	8210
333	8210	0	0	8210
334	8210	0	0	8210
335	8210	0	0	8210
336	8210	0	0	8210
337	8210	0	0	8210
338	8210	0	0	8210
339	8210	0	0	8210
340	8210	0	0	8210
341	8210	0	0	8210
342	8210	0	0	8210
343	8210	0	0	8210
344	8210	0	0	8210
345	8210	0	0	8210
346	8210	0	0	8210
347	8210	0	0	8210
348	6000	2210	0	8210
349	8210	0	0	8210
350	8201	9	0	8210
351	8210	0	0	8210
352	8210	0	0	8210
353	8210	0	0	8210
354	8210	0	0	8210
355	8210	0	0	8210
356	8210	0	0	8210
357	8210	0	0	8210
358	8210	0	0	8210
359	8210	0	0	8210
360	8210	0	0	8210
361	8210	0	0	8210
362	8210	0	0	8210
363	8210	0	0	8210
364	8210	0	0	8210
365	8210	0	0	8210
366	8210	0	0	8210
367	8210	0	0	8210
368	8210	0	0	8210
369	8210	0	0	8210
370	8210	0	0	8210
371	8210	0	0	8210
372	8210	0	0	8210
373	8208	1	1	8210
374	8210	0	0	8210
375	8209	1	0	8210
376	8210	0	0	8210
377	8210	0	0	8210
378	8210	0	0	8210
379	8210	0	0	8210
380	8209	1	0	8210
381	8210	0	0	8210
382	8210	0	0	8210
383	8210	0	0	8210
384	8210	0	0	8210
385	8209	1	0	8210
386	8210	0	0	8210
387	8210	0	0	8210
388	8210	0	0	8210
389	8210	0	0	8210
390	8210	0	0	8210
391	8210	0	0	8210
392	8210	0	0	8210
393	6929	1281	0	8210
394	8210	0	0	8210
395	8210	0	0	8210
396	8210	0	0	8210
397	8210	0	0	8210
398	8210	0	0	8210
399	8210	0	0	8210
400	8210	0	0	8210
401	8210	0	0	8210
402	8210	0	0	8210
403	8210	0	0	8210
404	8210	0	0	8210
405	8210	0	0	8210
406	8210	0	0	8210
407	8210	0	0	8210
408	8210	0	0	8210
409	8208	2	0	8210
410	8210	0	0	8210
411	7318	892	0	8210
412	8210	0	0	8210
413	8209	1	0	8210
414	8210	0	0	8210
415	8210	0	0	8210
416	8210	0	0	8210
417	8210	0	0	8210
418	8210	0	0	8210
419	8210	0	0	8210
420	8210	0	0	8210
421	8210	0	0	8210
422	8210	0	0	8210
423	8210	0	0	8210
424	8210	0	0	8210
425	8210	0	0	8210
426	8210	0	0	8210
427	8210	0	0	8210
428	8210	0	0	8210
429	8210	0	0	8210
430	8210	0	0	8210
431	8210	0	0	8210
432	8210	0	0	8210
433	8210	0	0	8210
434	8208	2	0	8210
435	8210	0	0	8210
436	8207	3	0	8210
437	8210	0	0	8210
438	8210	0	0	8210
439	8210	0	0	8210
440	8209	1	0	8210
441	8210	0	0	8210
442	8210	0	0	8210
443	8210	0	0	8210
444	8209	1	0	8210
445	8207	3	0	8210
446	8210	0	0	8210
447	8210	0	0	8210
448	8210	0	0	8210
449	8210	0	0	8210
450	8210	0	0	8210
451	8210	0	0	8210
452	8210	0	0	8210
453	8210	0	0	8210
454	8210	0	0	8210
455	8210	0	0	8210
456	8209	1	0	8210
457	8208	2	0	8210
458	8210	0	0	8210
459	8024	186	0	8210
460	8210	0	0	8210
461	8210	0	0	8210
462	8210	0	0	8210
463	8027	183	0	8210
464	8210	0	0	8210
465	8210	0	0	8210
466	8210	0	0	8210
467	8210	0	0	8210
468	8209	1	0	8210
469	8210	0	0	8210
470	8210	0	0	8210
471	8209	1	0	8210
472	8210	0	0	8210
473	8210	0	0	8210
474	8210	0	0	8210
475	8028	182	0	8210
476	8204	6	0	8210
477	8210	0	0	8210
478	8210	0	0	8210
479	8210	0	0	8210
480	8208	2	0	8210
481	8210	0	0	8210
482	8187	23	0	8210
483	8210	0	0	8210
484	8210	0	0	8210
485	8210	0	0	8210
486	8210	0	0	8210
487	8210	0	0	8210
488	8210	0	0	8210
489	8210	0	0	8210
490	8210	0	0	8210
491	8210	0	0	8210
492	8007	203	0	8210
493	8210	0	0	8210
494	8209	1	0	8210
495	8210	0	0	8210
496	8210	0	0	8210
497	8210	0	0	8210
498	8210	0	0	8210
499	8207	3	0	8210
500	8210	0	0	8210
501	8210	0	0	8210
502	8210	0	0	8210
503	8210	0	0	8210
504	8068	142	0	8210
505	8210	0	0	8210
506	8210	0	0	8210
507	8209	1	0	8210
508	8210	0	0	8210
509	8210	0	0	8210
510	8210	0	0	8210
511	8210	0	0	8210
512	8210	0	0	8210
513	8207	3	0	8210
514	8210	0	0	8210
515	8210	0	0	8210
516	8210	0	0	8210
517	8210	0	0	8210
518	8209	1	0	8210
519	8210	0	0	8210
520	8209	1	0	8210
521	8210	0	0	8210
522	8210	0	0	8210
523	8210	0	0	8210
524	8208	2	0	8210
525	8210	0	0	8210
526	8210	0	0	8210
527	8210	0	0	8210
528	8210	0	0	8210
529	8210	0	0	8210
530	8209	1	0	8210
531	8210	0	0	8210
532	8210	0	0	8210
533	8210	0	0	8210
534	8210	0	0	8210
535	8210	0	0	8210
536	8210	0	0	8210
537	8210	0	0	8210
538	8210	0	0	8210
539	8210	0	0	8210
540	8210	0	0	8210
541	8210	0	0	8210
542	8210	0	0	8210
543	8210	0	0	8210
544	8210	0	0	8210
545	8210	0	0	8210
546	8210	0	0	8210
547	8210	0	0	8210
548	8210	0	0	8210
549	8210	0	0	8210
550	8210	0	0	8210
551	8210	0	0	8210
552	8210	0	0	8210
553	8171	39	0	8210
554	8210	0	0	8210
555	8210	0	0	8210
556	8210	0	0	8210
557	8210	0	0	8210
558	8210	0	0	8210
559	8210	0	0	8210
560	8210	0	0	8210
561	8210	0	0	8210
562	8210	0	0	8210
563	8210	0	0	8210
564	8022	188	0	8210
565	8209	0	1	8210
566	8210	0	0	8210
567	8209	1	0	8210
568	8210	0	0	8210
569	8210	0	0	8210
570	8210	0	0	8210
571	8210	0	0	8210
572	8209	1	0	8210
573	8165	45	0	8210
574	8209	1	0	8210
575	8210	0	0	8210
576	8210	0	0	8210
577	8210	0	0	8210
578	8209	1	0	8210
579	8210	0	0	8210
580	8210	0	0	8210
581	8210	0	0	8210
582	8210	0	0	8210
583	8210	0	0	8210
584	8210	0	0	8210
585	8207	3	0	8210
586	8210	0	0	8210
587	8209	1	0	8210
588	8209	1	0	8210
589	8209	1	0	8210
590	8210	0	0	8210
591	8210	0	0	8210
592	8210	0	0	8210
593	8210	0	0	8210
594	8210	0	0	8210
595	8210	0	0	8210
596	8210	0	0	8210
597	8210	0	0	8210
598	8210	0	0	8210
599	8210	0	0	8210
600	8210	0	0	8210
601	8210	0	0	8210
602	8210	0	0	8210
603	8209	1	0	8210
604	8210	0	0	8210
605	8210	0	0	8210
606	8210	0	0	8210
607	8210	0	0	8210
608	8210	0	0	8210
609	8210	0	0	8210
610	8210	0	0	8210
611	8210	0	0	8210
612	8210	0	0	8210
613	8210	0	0	8210
614	8210	0	0	8210
615	8210	0	0	8210
616	8210	0	0	8210
617	8210	0	0	8210
618	8210	0	0	8210
619	8207	3	0	8210
620	8210	0	0	8210
621	7034	1176	0	8210
622	8210	0	0	8210
623	8210	0	0	8210
624	8210	0	0	8210
625	8210	0	0	8210
626	8210	0	0	8210
627	8210	0	0	8210
628	8210	0	0	8210
629	8210	0	0	8210
630	8210	0	0	8210
631	8208	2	0	8210
632	8210	0	0	8210
633	8210	0	0	8210
634	8210	0	0	8210
635	8210	0	0	8210
636	8208	2	0	8210
637	8210	0	0	8210
638	8209	1	0	8210
639	8210	0	0	8210
640	8210	0	0	8210
641	8210	0	0	8210
642	8210	0	0	8210
643	8210	0	0	8210
644	8209	1	0	8210
645	8210	0	0	8210
646	8210	0	0	8210
647	8210	0	0	8210
648	8210	0	0	8210
649	8210	0	0	8210
650	8210	0	0	8210
651	8210	0	0	8210
652	8210	0	0	8210
653	8210	0	0	8210
654	8210	0	0	8210
655	8210	0	0	8210
656	8207	3	0	8210
657	8210	0	0	8210
658	8210	0	0	8210
659	8210	0	0	8210
660	8210	0	0	8210
661	8210	0	0	8210
662	8209	1	0	8210
663	8210	0	0	8210
664	8210	0	0	8210
665	8210	0	0	8210
666	5665	2545	0	8210
667	8210	0	0	8210
668	8210	0	0	8210
669	8210	0	0	8210
670	8210	0	0	8210
671	8210	0	0	8210
672	8210	0	0	8210
673	8208	2	0	8210
674	8210	0	0	8210
675	8210	0	0	8210
676	8210	0	0	8210
677	8210	0	0	8210
678	5569	2641	0	8210
679	8210	0	0	8210
680	8210	0	0	8210
681	8210	0	0	8210
682	8210	0	0	8210
683	8210	0	0	8210
684	8210	0	0	8210
685	8210	0	0	8210
686	8208	2	0	8210
687	8210	0	0	8210
688	8210	0	0	8210
689	8210	0	0	8210
690	8210	0	0	8210
691	8210	0	0	8210
692	5612	2598	0	8210
693	8209	1	0	8210
694	8210	0	0	8210
695	8210	0	0	8210
696	7954	256	0	8210
697	8210	0	0	8210
698	8210	0	0	8210
699	7993	217	0	8210
700	8210	0	0	8210
701	8210	0	0	8210
702	8198	12	0	8210
703	8210	0	0	8210
704	8208	2	0	8210
705	8209	1	0	8210
706	8210	0	0	8210
707	8210	0	0	8210
708	8210	0	0	8210
709	8210	0	0	8210
710	8210	0	0	8210
711	8192	18	0	8210
712	8210	0	0	8210
713	8210	0	0	8210
714	8210	0	0	8210
715	8210	0	0	8210
716	8210	0	0	8210
717	8210	0	0	8210
718	8210	0	0	8210
719	8208	2	0	8210
720	8210	0	0	8210
721	8210	0	0	8210
722	8205	5	0	8210
723	8209	1	0	8210
724	8210	0	0	8210
725	8210	0	0	8210
726	8210	0	0	8210
727	8210	0	0	8210
728	8209	1	0	8210
729	8210	0	0	8210
730	8210	0	0	8210
731	8208	2	0	8210
732	8209	1	0	8210
733	8210	0	0	8210
734	8210	0	0	8210
735	8077	133	0	8210
736	8210	0	0	8210
737	8210	0	0	8210
738	8210	0	0	8210
739	8210	0	0	8210
740	8209	1	0	8210
741	8209	1	0	8210
742	8210	0	0	8210
743	8210	0	0	8210
744	8210	0	0	8210
745	8210	0	0	8210
746	8210	0	0	8210
747	8210	0	0	8210
748	8210	0	0	8210
749	8210	0	0	8210
750	8210	0	0	8210
751	8210	0	0	8210
752	8206	4	0	8210
753	8210	0	0	8210
754	8210	0	0	8210
755	8210	0	0	8210
756	8200	10	0	8210
757	8210	0	0	8210
758	8210	0	0	8210
759	8210	0	0	8210
760	8210	0	0	8210
761	8210	0	0	8210
762	8210	0	0	8210
763	8210	0	0	8210
764	8210	0	0	8210
765	8210	0	0	8210
766	8206	4	0	8210
767	8210	0	0	8210
768	8210	0	0	8210
769	8210	0	0	8210
770	8210	0	0	8210
771	8210	0	0	8210
772	8210	0	0	8210
773	8210	0	0	8210
774	8210	0	0	8210
775	8209	1	0	8210
776	8210	0	0	8210
777	8210	0	0	8210
778	8210	0	0	8210
779	8210	0	0	8210
780	8210	0	0	8210
781	8210	0	0	8210
782	8210	0	0	8210
783	8210	0	0	8210
784	8210	0	0	8210
785	8210	0	0	8210
786	8210	0	0	8210
787	8210	0	0	8210
788	8210	0	0	8210
789	8210	0	0	8210
790	8210	0	0	8210
791	8210	0	0	8210
792	8210	0	0	8210
793	8210	0	0	8210
794	8210	0	0	8210
795	8210	0	0	8210
796	8209	1	0	8210
797	8210	0	0	8210
798	8208	2	0	8210
799	8210	0	0	8210
800	8210	0	0	8210
801	8210	0	0	8210
802	8210	0	0	8210
803	8210	0	0	8210
804	8210	0	0	8210
805	8210	0	0	8210
806	8210	0	0	8210
807	8210	0	0	8210
808	8210	0	0	8210
809	8210	0	0	8210
810	8210	0	0	8210
811	8210	0	0	8210
812	8194	16	0	8210
813	8210	0	0	8210
814	8210	0	0	8210
815	8210	0	0	8210
816	8210	0	0	8210
817	8210	0	0	8210
818	8208	2	0	8210
819	8210	0	0	8210
820	8180	30	0	8210
821	8210	0	0	8210
822	8210	0	0	8210
823	8210	0	0	8210
824	8209	1	0	8210
825	8210	0	0	8210
826	8210	0	0	8210
827	8210	0	0	8210
828	8210	0	0	8210
829	8210	0	0	8210
830	8210	0	0	8210
831	8210	0	0	8210
832	8210	0	0	8210
833	8210	0	0	8210
834	8210	0	0	8210
835	8210	0	0	8210
836	8208	2	0	8210
837	8210	0	0	8210
838	8210	0	0	8210
839	8210	0	0	8210
840	8210	0	0	8210
841	8209	1	0	8210
842	8210	0	0	8210
843	8210	0	0	8210
844	8210	0	0	8210
845	8210	0	0	8210
846	8210	0	0	8210
847	8210	0	0	8210
848	8210	0	0	8210
849	8210	0	0	8210
850	8210	0	0	8210
851	8210	0	0	8210
852	8210	0	0	8210
853	8210	0	0	8210
854	8209	1	0	8210
855	8210	0	0	8210
856	8210	0	0	8210
857	8210	0	0	8210
858	8208	0	2	8210
859	8207	3	0	8210
860	8210	0	0	8210
861	8210	0	0	8210
862	8209	1	0	8210
863	8210	0	0	8210
864	8210	0	0	8210
865	8210	0	0	8210
866	8210	0	0	8210
867	8210	0	0	8210
868	8210	0	0	8210
869	8210	0	0	8210
870	8210	0	0	8210
871	8209	1	0	8210
872	8209	1	0	8210
873	8210	0	0	8210
874	8210	0	0	8210
875	8210	0	0	8210
876	8210	0	0	8210
877	8210	0	0	8210
878	8210	0	0	8210
879	8210	0	0	8210
880	8210	0	0	8210
881	8210	0	0	8210
882	8210	0	0	8210
883	8210	0	0	8210
884	8210	0	0	8210
885	8210	0	0	8210
886	8210	0	0	8210
887	8209	1	0	8210
888	8201	9	0	8210
889	8210	0	0	8210
890	8209	1	0	8210
891	8202	8	0	8210
892	8210	0	0	8210
893	8210	0	0	8210
894	8210	0	0	8210
895	8210	0	0	8210
896	8210	0	0	8210
897	8209	1	0	8210
898	8210	0	0	8210
899	8210	0	0	8210
900	8210	0	0	8210
901	8210	0	0	8210
902	8180	30	0	8210
903	8210	0	0	8210
904	8210	0	0	8210
905	8210	0	0	8210
906	8210	0	0	8210
907	8210	0	0	8210
908	8184	26	0	8210
909	8210	0	0	8210
910	8210	0	0	8210
911	8210	0	0	8210
912	8210	0	0	8210
913	8210	0	0	8210
914	8210	0	0	8210
915	5538	2672	0	8210
916	8210	0	0	8210
917	8209	1	0	8210
918	8210	0	0	8210
919	8210	0	0	8210
920	8202	8	0	8210
921	8210	0	0	8210
922	8210	0	0	8210
923	8210	0	0	8210
924	8210	0	0	8210
925	8210	0	0	8210
926	8210	0	0	8210
927	8210	0	0	8210
928	8210	0	0	8210
929	8210	0	0	8210
930	8210	0	0	8210
931	8210	0	0	8210
932	8210	0	0	8210
933	8204	6	0	8210
934	8202	8	0	8210
935	8198	12	0	8210
936	8210	0	0	8210
937	8210	0	0	8210
938	8210	0	0	8210
939	8210	0	0	8210
940	8210	0	0	8210
941	8209	1	0	8210
942	8210	0	0	8210
943	8210	0	0	8210
944	8210	0	0	8210
945	8210	0	0	8210
946	8210	0	0	8210
947	8210	0	0	8210
948	8210	0	0	8210
949	8210	0	0	8210
950	8210	0	0	8210
951	8210	0	0	8210
952	8210	0	0	8210
953	8210	0	0	8210
954	8210	0	0	8210
955	8210	0	0	8210
956	8210	0	0	8210
957	8210	0	0	8210
958	8210	0	0	8210
959	8210	0	0	8210
960	8209	1	0	8210
961	8210	0	0	8210
962	8209	1	0	8210
963	8210	0	0	8210
964	8210	0	0	8210
965	8210	0	0	8210
966	8210	0	0	8210
967	8210	0	0	8210
968	8209	1	0	8210
969	8210	0	0	8210
970	8210	0	0	8210
971	8210	0	0	8210
972	8209	1	0	8210
973	8210	0	0	8210
974	8210	0	0	8210
975	8209	1	0	8210
976	8210	0	0	8210
977	8174	36	0	8210
978	8210	0	0	8210
979	8210	0	0	8210
980	8210	0	0	8210
981	8210	0	0	8210
982	8210	0	0	8210
983	8208	2	0	8210
984	8210	0	0	8210
985	8210	0	0	8210
986	8210	0	0	8210
987	8210	0	0	8210
988	8210	0	0	8210
989	8209	1	0	8210
990	8210	0	0	8210
991	8210	0	0	8210
992	8210	0	0	8210
993	8199	11	0	8210
994	8210	0	0	8210
995	8210	0	0	8210
996	8210	0	0	8210
997	8210	0	0	8210
998	8210	0	0	8210
999	8210	0	0	8210
1000	8210	0	0	8210
1001	8210	0	0	8210
1002	8209	1	0	8210
1003	8210	0	0	8210
1004	8210	0	0	8210
1005	8210	0	0	8210
1006	8210	0	0	8210
1007	8210	0	0	8210
1008	8210	0	0	8210
1009	8210	0	0	8210
1010	8210	0	0	8210
1011	8210	0	0	8210
1012	8210	0	0	8210
1013	8210	0	0	8210
1014	8186	24	0	8210
1015	8210	0	0	8210
1016	8210	0	0	8210
1017	8210	0	0	8210
1018	8210	0	0	8210
1019	8210	0	0	8210
1020	8210	0	0	8210
1021	8210	0	0	8210
1022	8209	1	0	8210
1023	8210	0	0	8210
1024	8210	0	0	8210
1025	8210	0	0	8210
1026	8210	0	0	8210
1027	8210	0	0	8210
1028	8210	0	0	8210
1029	8208	2	0	8210
1030	7515	695	0	8210
1031	8210	0	0	8210
1032	8209	1	0	8210
1033	8210	0	0	8210
1034	8210	0	0	8210
1035	8210	0	0	8210
1036	8087	123	0	8210
1037	8210	0	0	8210
1038	8209	0	1	8210
1039	8209	1	0	8210
1040	8210	0	0	8210
1041	8210	0	0	8210
1042	8210	0	0	8210
1043	8210	0	0	8210
1044	8210	0	0	8210
1045	8210	0	0	8210
1046	8210	0	0	8210
1047	8210	0	0	8210
1048	8210	0	0	8210
1049	8209	1	0	8210
1050	8174	36	0	8210
1051	8202	8	0	8210
1052	8210	0	0	8210
1053	8210	0	0	8210
1054	8210	0	0	8210
1055	8210	0	0	8210
1056	8210	0	0	8210
1057	8210	0	0	8210
1058	8210	0	0	8210
1059	8210	0	0	8210
1060	8209	1	0	8210
1061	8210	0	0	8210
1062	8210	0	0	8210
1063	8210	0	0	8210
1064	8210	0	0	8210
1065	8210	0	0	8210
1066	8210	0	0	8210
1067	8210	0	0	8210
1068	8210	0	0	8210
1069	8210	0	0	8210
1070	8210	0	0	8210
1071	8210	0	0	8210
1072	7953	257	0	8210
1073	8210	0	0	8210
1074	8210	0	0	8210
1075	8209	1	0	8210
1076	8210	0	0	8210
1077	8210	0	0	8210
1078	8210	0	0	8210
1079	8210	0	0	8210
1080	8210	0	0	8210
1081	8210	0	0	8210
1082	8210	0	0	8210
1083	8210	0	0	8210
1084	8202	8	0	8210
1085	8184	26	0	8210
1086	8209	1	0	8210
1087	8210	0	0	8210
1088	8210	0	0	8210
1089	8210	0	0	8210
1090	8210	0	0	8210
1091	8210	0	0	8210
1092	8209	1	0	8210
1093	8210	0	0	8210
1094	8210	0	0	8210
1095	8210	0	0	8210
1096	8208	2	0	8210
1097	8209	1	0	8210
1098	8210	0	0	8210
1099	8210	0	0	8210
1100	8210	0	0	8210
1101	8209	1	0	8210
1102	8210	0	0	8210
1103	8210	0	0	8210
1104	8210	0	0	8210
1105	8210	0	0	8210
1106	8210	0	0	8210
1107	8210	0	0	8210
1108	8210	0	0	8210
1109	8210	0	0	8210
1110	8192	18	0	8210
1111	8209	1	0	8210
1112	8210	0	0	8210
1113	8210	0	0	8210
1114	8210	0	0	8210
1115	8210	0	0	8210
1116	8210	0	0	8210
1117	8210	0	0	8210
1118	8209	0	1	8210
1119	8210	0	0	8210
1120	8209	1	0	8210
1121	8210	0	0	8210
1122	8209	1	0	8210
1123	8210	0	0	8210
1124	8210	0	0	8210
1125	8210	0	0	8210
1126	8201	9	0	8210
1127	8210	0	0	8210
1128	8210	0	0	8210
1129	8210	0	0	8210
1130	8210	0	0	8210
1131	8210	0	0	8210
1132	7218	992	0	8210
1133	8143	67	0	8210
1134	8209	1	0	8210
1135	8210	0	0	8210
1136	8204	6	0	8210
1137	8209	1	0	8210
1138	8210	0	0	8210
1139	4681	3529	0	8210
1140	8210	0	0	8210
1141	8210	0	0	8210
1142	8210	0	0	8210
1143	8210	0	0	8210
1144	8210	0	0	8210
1145	8210	0	0	8210
1146	8210	0	0	8210
1147	8210	0	0	8210
1148	8210	0	0	8210
1149	8210	0	0	8210
1150	8210	0	0	8210
